"start_year";"EinheitenTyp";"ags_federal_state";"n";"mean";"sum";"pop_obliged_to_income_taxes";"total_income_in_1000_euro";"total_taxes_on_income_in_1000_euro";"voters_eligible";"voter_turnout";"votes_valid";"votes_cdu_csu";"votes_spd";"votes_greens";"votes_fdp";"votes_the_left";"votes_afd";"votes_other_parties"
1920;"Wasser";"06";2;5,15;10,3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1920;"Wasser";"08";2;150;300;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1920;"Wasser";"09";9;2098,05333333333;18882,48;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1921;"Wasser";"05";3;600;1800;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1921;"Wasser";"06";2;2400;4800;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1921;"Wasser";"08";1;60;60;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1921;"Wasser";"09";5;69,16;345,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1922;"Wasser";"03";1;25;25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1922;"Wasser";"05";1;400;400;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1922;"Wasser";"08";4;104,75;419;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1922;"Wasser";"09";11;1271,72727272727;13989;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1923;"Wasser";"05";4;170,5;682;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1923;"Wasser";"08";5;606,4;3032;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1923;"Wasser";"09";5;99,4;497;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1924;"Wasser";"01";2;1050;2100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1924;"Wasser";"08";5;2943;14715;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1924;"Wasser";"09";7;524,714285714286;3673;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1924;"Wasser";"16";1;30;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1925;"Wasser";"05";3;650;1950;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1925;"Wasser";"06";2;120;240;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1925;"Wasser";"08";1;660;660;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1925;"Wasser";"09";6;40,3333333333333;242;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1926;"Stromspeichereinheit";"08";1;1250;1250;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1926;"Wasser";"08";4;591,25;2365;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1926;"Wasser";"09";4;107,9475;431,79;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1927;"Wasser";"05";3;400;1200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1927;"Wasser";"08";5;237,4;1187;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1927;"Wasser";"09";3;25,6666666666667;77;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1928;"Wasser";"03";2;62,5;125;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1928;"Wasser";"05";1;176;176;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1928;"Wasser";"06";1;200;200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1928;"Wasser";"08";3;137,333333333333;412;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1928;"Wasser";"09";3;83;249;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1929;"Stromverbrauchseinheit";"08";1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1929;"Wasser";"08";1;45;45;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1929;"Wasser";"09";4;21,125;84,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1930;"Wasser";"08";3;9456,66666666667;28370;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1930;"Wasser";"09";3;26,7;80,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1931;"Wasser";"08";2;28150;56300;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1931;"Wasser";"09";2;35;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1932;"Wasser";"03";2;685;1370;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1932;"Wasser";"08";3;55,6666666666667;167;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1932;"Wasser";"09";3;39;117;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1933;"Wasser";"07";1;230;230;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1933;"Wasser";"09";3;228;684;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
