"start_year";"EinheitenTyp";"Landkreis";"name";"ags_county";"n";"mean";"sum";"pop_obliged_to_income_taxes";"total_income_in_1000_euro";"total_taxes_on_income_in_1000_euro";"voters_eligible";"voter_turnout";"votes_valid";"votes_cdu_csu";"votes_spd";"votes_greens";"votes_fdp";"vodes_the_left";"votes_afd";"votes_other_parties"
2013;"Windeinheit";"Dahme-Spreewald";"Dahme-Spreewald";"12061";2;3050;6100;75968;2379598;366287;134465;72,4;95594;32935;21548;4251;2652;20455;6196;7557
2013;"Solareinheit";"Elbe-Elster";"Elbe-Elster";"12062";46;104,250543478261;4795,525;44705;1140323;140463;92466;68;61666;25109;12210;1685;1599;12666;3669;4728
2013;"Windeinheit";"Elbe-Elster";"Elbe-Elster";"12062";8;2634,375;21075;44705;1140323;140463;92466;68;61666;25109;12210;1685;1599;12666;3669;4728
2013;"Solareinheit";"Havelland";"Havelland";"12063";23;59,0680434782609;1358,565;70512;2331474;368973;127579;69,5;87233;30471;21232;4756;2682;16866;5637;5589
2013;"Stromspeichereinheit";"Havelland";"Havelland";"12063";1;4,5;4,5;70512;2331474;368973;127579;69,5;87233;30471;21232;4756;2682;16866;5637;5589
2013;"Verbrennung";"Havelland";"Havelland";"12063";2;11,5;23;70512;2331474;368973;127579;69,5;87233;30471;21232;4756;2682;16866;5637;5589
2013;"Solareinheit";"Märkisch-Oderland";"Märkisch-Oderland";"12064";48;153,546458333333;7370,23;85083;2659827;396084;158789;67,9;105038;34175;23571;4141;2359;27132;6489;7171
2013;"Stromspeichereinheit";"Märkisch-Oderland";"Märkisch-Oderland";"12064";4;3,075;12,3;85083;2659827;396084;158789;67,9;105038;34175;23571;4141;2359;27132;6489;7171
2013;"Verbrennung";"Märkisch-Oderland";"Märkisch-Oderland";"12064";3;8,73333333333333;26,2;85083;2659827;396084;158789;67,9;105038;34175;23571;4141;2359;27132;6489;7171
2013;"Windeinheit";"Märkisch-Oderland";"Märkisch-Oderland";"12064";3;2000;6000;85083;2659827;396084;158789;67,9;105038;34175;23571;4141;2359;27132;6489;7171
2013;"Solareinheit";"Oberhavel";"Oberhavel";"12065";30;9,665;289,95;110816;3422274;517355;168699;70,1;116378;42074;27480;5941;3172;22527;7667;7517
2013;"Stromspeichereinheit";"Oberhavel";"Oberhavel";"12065";2;6,3;12,6;110816;3422274;517355;168699;70,1;116378;42074;27480;5941;3172;22527;7667;7517
2013;"Verbrennung";"Oberhavel";"Oberhavel";"12065";1;1;1;110816;3422274;517355;168699;70,1;116378;42074;27480;5941;3172;22527;7667;7517
2013;"Windeinheit";"Oberhavel";"Oberhavel";"12065";1;2000;2000;110816;3422274;517355;168699;70,1;116378;42074;27480;5941;3172;22527;7667;7517
2013;"Solareinheit";"Oberspreewald-Lausitz";"Oberspreewald-Lausitz";"12066";37;242,981756756757;8990,325;48626;1274538;165215;99396;65,8;64199;24349;13222;1634;1553;14853;3740;4848
2013;"Stromspeichereinheit";"Oberspreewald-Lausitz";"Oberspreewald-Lausitz";"12066";1;2,5;2,5;48626;1274538;165215;99396;65,8;64199;24349;13222;1634;1553;14853;3740;4848
2013;"Verbrennung";"Oberspreewald-Lausitz";"Oberspreewald-Lausitz";"12066";1;6,7;6,7;48626;1274538;165215;99396;65,8;64199;24349;13222;1634;1553;14853;3740;4848
2013;"Windeinheit";"Oberspreewald-Lausitz";"Oberspreewald-Lausitz";"12066";6;2858,33333333333;17150;48626;1274538;165215;99396;65,8;64199;24349;13222;1634;1553;14853;3740;4848
2013;"Biomasse";"Oder-Spree";"Oder-Spree";"12067";1;800;800;79326;2394147;350376;151368;68,8;102335;34632;22682;4009;2329;24568;6656;7459
2013;"Solareinheit";"Oder-Spree";"Oder-Spree";"12067";56;22,21325;1243,942;79326;2394147;350376;151368;68,8;102335;34632;22682;4009;2329;24568;6656;7459
2013;"Stromspeichereinheit";"Oder-Spree";"Oder-Spree";"12067";3;3,6;10,8;79326;2394147;350376;151368;68,8;102335;34632;22682;4009;2329;24568;6656;7459
2013;"Verbrennung";"Oder-Spree";"Oder-Spree";"12067";3;61,8333333333333;185,5;79326;2394147;350376;151368;68,8;102335;34632;22682;4009;2329;24568;6656;7459
2013;"Solareinheit";"Ostprignitz-Ruppin";"Ostprignitz-Ruppin";"12068";9;197,556111111111;1778,005;43040;1153085;155076;85241;62,7;52577;19037;13255;2054;1128;11708;2572;2823
2013;"Windeinheit";"Ostprignitz-Ruppin";"Ostprignitz-Ruppin";"12068";8;2118,75;16950;43040;1153085;155076;85241;62,7;52577;19037;13255;2054;1128;11708;2572;2823
2013;"Biomasse";"Potsdam-Mittelmark";"Potsdam-Mittelmark";"12069";1;366;366;96104;3671575;649128;168912;73,4;122151;43933;30303;8012;4156;22508;6954;6285
2013;"Solareinheit";"Potsdam-Mittelmark";"Potsdam-Mittelmark";"12069";41;60,2711219512195;2471,116;96104;3671575;649128;168912;73,4;122151;43933;30303;8012;4156;22508;6954;6285
2013;"Stromspeichereinheit";"Potsdam-Mittelmark";"Potsdam-Mittelmark";"12069";1;3;3;96104;3671575;649128;168912;73,4;122151;43933;30303;8012;4156;22508;6954;6285
2013;"Verbrennung";"Potsdam-Mittelmark";"Potsdam-Mittelmark";"12069";3;3,73333333333333;11,2;96104;3671575;649128;168912;73,4;122151;43933;30303;8012;4156;22508;6954;6285
2013;"Biomasse";"Prignitz";"Prignitz";"12070";1;265;265;33127;870615;117039;67889;65,4;43724;16267;10982;1259;959;9985;1898;2374
2013;"Solareinheit";"Prignitz";"Prignitz";"12070";27;118,02;3186,54;33127;870615;117039;67889;65,4;43724;16267;10982;1259;959;9985;1898;2374
2013;"Verbrennung";"Prignitz";"Prignitz";"12070";3;7,46666666666667;22,4;33127;870615;117039;67889;65,4;43724;16267;10982;1259;959;9985;1898;2374
2013;"Windeinheit";"Prignitz";"Prignitz";"12070";9;2200;19800;33127;870615;117039;67889;65,4;43724;16267;10982;1259;959;9985;1898;2374
2013;"Biomasse";"Spree-Neiße";"Spree-Neiße";"12071";1;889;889;51535;1456656;199608;103695;68,5;69620;26507;14335;2082;1685;14861;4854;5296
2013;"Solareinheit";"Spree-Neiße";"Spree-Neiße";"12071";40;93,364;3734,56;51535;1456656;199608;103695;68,5;69620;26507;14335;2082;1685;14861;4854;5296
2013;"Stromspeichereinheit";"Spree-Neiße";"Spree-Neiße";"12071";2;2;4;51535;1456656;199608;103695;68,5;69620;26507;14335;2082;1685;14861;4854;5296
