"start_year";"ags_county";"n";"mean";"sum"
1921;"05962";3;600;1800
1921;"06435";2;2400;4800
1921;"08127";1;60;60
1921;"09189";1;60;60
1921;"09279";2;21;42
1921;"09777";1;40;40
1921;"09778";1;203,8;203,8
1922;"03254";1;25;25
1922;"05958";1;400;400
1922;"08235";3;86,3333333333333;259
1922;"08315";1;160;160
1922;"09171";3;350;1050
1922;"09172";1;60;60
1922;"09182";1;83;83
1922;"09275";1;102;102
1922;"09474";1;25;25
1922;"09761";1;69;69
1922;"09772";3;4200;12600
1923;"05366";1;90;90
1923;"05962";3;197,333333333333;592
1923;"08425";4;755,5;3022
1923;"08426";1;10;10
1923;"09177";1;114;114
1923;"09272";1;90;90
1923;"09375";1;43;43
1923;"09474";1;180;180
1923;"09778";1;70;70
1924;"01053";2;1050;2100
1924;"08127";1;33;33
1924;"08236";1;215;215
1924;"08337";1;50;50
1924;"08425";1;7;7
1924;"08426";1;14410;14410
1924;"09172";1;170;170
1924;"09180";1;8;8
1924;"09272";1;1655;1655
1924;"09276";1;190;190
1924;"09472";2;690;1380
1924;"09572";1;270;270
1924;"16071";1;30;30
1925;"05962";3;650;1950
1925;"06632";2;120;240
1925;"08337";1;660;660
1925;"09183";1;30;30
1925;"09187";1;26;26
1925;"09272";1;50;50
1925;"09774";1;65;65
1925;"09775";1;11;11
1925;"09777";1;60;60
1926;"08315";1;145;145
1926;"08416";4;867,5;3470
1926;"09271";1;44;44
1926;"09272";1;48,24;48,24
1926;"09276";1;19,55;19,55
1926;"09775";1;320;320
1927;"05962";3;400;1200
1927;"08118";1;70;70
1927;"08415";4;279,25;1117
1927;"09189";1;43;43
1927;"09473";2;17;34
1928;"03158";2;62,5;125
1928;"05122";1;176;176
1928;"06632";1;200;200
1928;"08221";1;290;290
1928;"08235";1;100;100
1928;"08437";1;22;22
1928;"09183";1;3;3
1928;"09279";1;156;156
1928;"09475";1;90;90
1929;"08426";1;45;45
1929;"09271";1;34,5;34,5
1929;"09275";1;22;22
1929;"09472";2;14;28
1930;"08336";1;28150;28150
1930;"08415";2;110;220
1930;"09177";1;26;26
1930;"09189";1;21,1;21,1
1930;"09575";1;33;33
1931;"08336";2;28150;56300
1931;"09275";2;35;70
1932;"03159";2;685;1370
1932;"08117";1;55;55
1932;"08415";1;90;90
1932;"08436";1;22;22
1932;"09172";1;90;90
1932;"09278";1;22;22
1932;"09572";1;5;5
1933;"07138";1;230;230
1933;"09172";1;130;130
1933;"09375";1;530;530
1933;"09474";1;24;24
1934;"03159";1;4700;4700
1934;"05358";1;110;110
1934;"08127";1;27;27
1934;"09474";1;33;33
1934;"09477";1;30;30
1935;"09187";1;130;130
1935;"09189";1;35;35
1935;"09775";1;228;228
1935;"09780";1;115;115
1936;"08128";1;24;24
1936;"08421";4;1125;4500
1936;"08425";1;36;36
1936;"09376";4;95,5;382
1937;"08116";2;120;240
1937;"09774";1;220;220
1938;"03241";3;540;1620
1938;"08337";1;70;70
1938;"09183";1;130;130
1938;"09371";1;70;70
1938;"09372";1;18;18
1938;"09772";1;2395;2395
1938;"09778";3;1205;3615
1938;"14523";1;413;413
1939;"08225";1;16,5;16,5
1939;"08235";2;40;80
1939;"09375";1;55;55
1939;"09777";1;54;54
1940;"08235";1;78;78
1940;"08417";1;30;30
1940;"08437";1;40;40
1940;"09375";1;33;33
1940;"09774";1;345;345
1941;"03102";3;26333,3333333333;79000
1941;"08212";1;1,05;1,05
1941;"09182";1;2,75;2,75
1941;"09775";1;135;135
1942;"09279";1;84;84
1942;"09376";2;65;130
1942;"09774";1;1095;1095
1943;"06632";1;320;320
1943;"09778";3;1186,66666666667;3560
1944;"08336";1;65;65
1944;"09778";4;1115;4460
1945;"09187";1;9;9
1946;"03458";2;110;220
1946;"06636";1;15;15
