"start_year";"EinheitenTyp";"ags_federal_state";"n";"mean";"sum"
2005;"Solareinheit";"16";116;40,9404827586207;4749,096
2005;"Stromspeichereinheit";"03";1;10;10
2005;"Stromspeichereinheit";"08";2;3002,95;6005,9
2005;"Verbrennung";"01";9;1248,02222222222;11232,2
2005;"Verbrennung";"03";85;24,0831764705882;2047,07
2005;"Verbrennung";"04";2;5,5;11
2005;"Verbrennung";"05";64;4372,65859375;279850,15
2005;"Verbrennung";"06";27;3310,26666666667;89377,2
2005;"Verbrennung";"07";17;943,383529411765;16037,52
2005;"Verbrennung";"08";57;128,829298245614;7343,27
2005;"Verbrennung";"09";47;78,8665957446809;3706,73
2005;"Verbrennung";"10";2;37002,5;74005
2005;"Verbrennung";"11";2;509;1018
2005;"Verbrennung";"12";2;717,65;1435,3
2005;"Verbrennung";"13";3;17,8333333333333;53,5
2005;"Verbrennung";"14";28;22,2182142857143;622,11
2005;"Verbrennung";"15";7;6904,35714285714;48330,5
2005;"Verbrennung";"16";3;143;429
2005;"Wasser";"03";3;45;135
2005;"Wasser";"05";2;17,15;34,3
2005;"Wasser";"06";2;190;380
2005;"Wasser";"08";5;29,9;149,5
2005;"Wasser";"09";11;84,9036363636364;933,94
2005;"Wasser";"14";1;1200;1200
2005;"Wasser";"16";1;10;10
2005;"Windeinheit";"01";10;1770;17700
2005;"Windeinheit";"03";67;1797,91044776119;120460
2005;"Windeinheit";"04";1;600;600
2005;"Windeinheit";"05";36;1293,05555555556;46550
2005;"Windeinheit";"06";6;1750;10500
2005;"Windeinheit";"07";8;1850;14800
2005;"Windeinheit";"08";2;1750;3500
2005;"Windeinheit";"12";56;1523,21428571429;85300
2005;"Windeinheit";"13";10;2090;20900
2005;"Windeinheit";"14";15;1740;26100
2005;"Windeinheit";"15";13;1884,61538461538;24500
2005;"Windeinheit";"16";5;1760;8800
2006;"Biomasse";"01";47;440,468085106383;20702
2006;"Biomasse";"02";1;150;150
2006;"Biomasse";"03";161;430,484534161491;69308,01
2006;"Biomasse";"05";57;516,456140350877;29438
2006;"Biomasse";"06";20;276,285;5525,7
2006;"Biomasse";"07";12;2027,83333333333;24334
2006;"Biomasse";"08";76;334,564473684211;25426,9
2006;"Biomasse";"09";204;335,683431372549;68479,42
2006;"Biomasse";"10";1;210;210
2006;"Biomasse";"12";23;1249,78913043478;28745,15
2006;"Biomasse";"13";22;527,818181818182;11612
2006;"Biomasse";"14";16;402,4375;6439
2006;"Biomasse";"15";24;512,541666666667;12301
2006;"Biomasse";"16";20;621,55;12431
2006;"Gaserzeugungseinheit";"05";1;NA;NA
2006;"Gasverbrauchseinheit";"05";1;NA;NA
2006;"Geothermie";"05";3;3433,33333333333;10300
2006;"Geothermie";"06";2;50;100
2006;"Geothermie";"08";1;180;180
2006;"Solareinheit";"01";414;29,3482028985507;12150,156
2006;"Solareinheit";"02";7;19,5078571428571;136,555
2006;"Solareinheit";"03";1153;20,261763226366;23361,813
2006;"Solareinheit";"04";27;6,09911111111111;164,676
2006;"Solareinheit";"05";1982;22,7253516649849;45041,647
2006;"Solareinheit";"06";1367;95,4365808339429;130461,806
2006;"Solareinheit";"07";938;17,4520863539446;16370,057
2006;"Solareinheit";"08";3482;16,578851809305;57727,562
2006;"Solareinheit";"09";2914;22,1080923129719;64422,981
2006;"Solareinheit";"10";181;6,34477348066298;1148,404
2006;"Solareinheit";"11";19;10,1;191,9
2006;"Solareinheit";"12";150;7,81335333333333;1172,003
2006;"Solareinheit";"13";61;10,3979672131148;634,276
2006;"Solareinheit";"14";173;8,65722543352601;1497,7
2006;"Solareinheit";"15";113;9,88137168141593;1116,595
2006;"Solareinheit";"16";150;25,17948;3776,922
2006;"Stromspeichereinheit";"01";1;11,4;11,4
2006;"Stromspeichereinheit";"05";1;2,3;2,3
2006;"Stromspeichereinheit";"09";2;8,875;17,75
2006;"Verbrennung";"01";8;5,35375;42,83
2006;"Verbrennung";"02";3;1106,83333333333;3320,5
2006;"Verbrennung";"03";91;590,025494505495;53692,32
2006;"Verbrennung";"04";1;5,13;5,13
2006;"Verbrennung";"05";81;108,049259259259;8751,99
2006;"Verbrennung";"06";26;123,200769230769;3203,22
2006;"Verbrennung";"07";12;142,025;1704,3
2006;"Verbrennung";"08";84;55,5836904761905;4669,03
2006;"Verbrennung";"09";47;107,47170212766;5051,17
2006;"Verbrennung";"10";1;5;5
2006;"Verbrennung";"11";2;5,4;10,8
2006;"Verbrennung";"12";5;721,2;3606
2006;"Verbrennung";"13";2;5,25;10,5
2006;"Verbrennung";"14";19;83,33;1583,27
2006;"Verbrennung";"15";5;111,66;558,3
2006;"Verbrennung";"16";9;203,38;1830,42
2006;"Wasser";"03";4;83,5;334
2006;"Wasser";"05";5;248,32;1241,6
2006;"Wasser";"06";1;250;250
2006;"Wasser";"08";9;56,0444444444444;504,4
2006;"Wasser";"09";13;62,2307692307692;809
2006;"Wasser";"14";3;68,3333333333333;205
2006;"Wasser";"15";1;1000;1000
2006;"Wasser";"16";2;85;170
2006;"Windeinheit";"01";31;2270,96774193548;70400
2006;"Windeinheit";"03";36;2052,77777777778;73900
2006;"Windeinheit";"04";5;2780;13900
2006;"Windeinheit";"05";23;1356,52173913043;31200
